Cenário: Taxa Anual = 6.00%, Taxa Mensal = 0.487%
Depósito Extra Necessário: R$ 9,842.49
Total Depósito Mensal (Aluguel + Extra): R$ 10,842.49
Capital Final (aprox.): R$ 739,591.70
Capital Necessário para gerar R$ 3.600/mês: R$ 739,591.70
----------------------------------------------------------------------
Mês |   Saldo Inicial |      Juros |   Depósito |     Saldo Final
  1 | R$     100,000.00 | R$    486.76 | R$ 10,842.49 | R$     111,329.24
  2 | R$     111,329.24 | R$    541.90 | R$ 10,842.49 | R$     122,713.64
  3 | R$     122,713.64 | R$    597.31 | R$ 10,842.49 | R$     134,153.44
  4 | R$     134,153.44 | R$    653.00 | R$ 10,842.49 | R$     145,648.93
  5 | R$     145,648.93 | R$    708.95 | R$ 10,842.49 | R$     157,200.37
  6 | R$     157,200.37 | R$    765.18 | R$ 10,842.49 | R$     168,808.04
  7 | R$     168,808.04 | R$    821.68 | R$ 10,842.49 | R$     180,472.21
  8 | R$     180,472.21 | R$    878.46 | R$ 10,842.49 | R$     192,193.16
  9 | R$     192,193.16 | R$    935.51 | R$ 10,842.49 | R$     203,971.16
 10 | R$     203,971.16 | R$    992.84 | R$ 10,842.49 | R$     215,806.49
 11 | R$     215,806.49 | R$  1,050.45 | R$ 10,842.49 | R$     227,699.43
 12 | R$     227,699.43 | R$  1,108.34 | R$ 10,842.49 | R$     239,650.26
 13 | R$     239,650.26 | R$  1,166.51 | R$ 10,842.49 | R$     251,659.26
 14 | R$     251,659.26 | R$  1,224.96 | R$ 10,842.49 | R$     263,726.71
 15 | R$     263,726.71 | R$  1,283.70 | R$ 10,842.49 | R$     275,852.91
 16 | R$     275,852.91 | R$  1,342.73 | R$ 10,842.49 | R$     288,038.12
 17 | R$     288,038.12 | R$  1,402.04 | R$ 10,842.49 | R$     300,282.65
 18 | R$     300,282.65 | R$  1,461.64 | R$ 10,842.49 | R$     312,586.79
 19 | R$     312,586.79 | R$  1,521.53 | R$ 10,842.49 | R$     324,950.81
 20 | R$     324,950.81 | R$  1,581.71 | R$ 10,842.49 | R$     337,375.01
 21 | R$     337,375.01 | R$  1,642.19 | R$ 10,842.49 | R$     349,859.69
 22 | R$     349,859.69 | R$  1,702.96 | R$ 10,842.49 | R$     362,405.14
 23 | R$     362,405.14 | R$  1,764.03 | R$ 10,842.49 | R$     375,011.66
 24 | R$     375,011.66 | R$  1,825.39 | R$ 10,842.49 | R$     387,679.53
 25 | R$     387,679.53 | R$  1,887.05 | R$ 10,842.49 | R$     400,409.07
 26 | R$     400,409.07 | R$  1,949.01 | R$ 10,842.49 | R$     413,200.58
 27 | R$     413,200.58 | R$  2,011.27 | R$ 10,842.49 | R$     426,054.34
 28 | R$     426,054.34 | R$  2,073.84 | R$ 10,842.49 | R$     438,970.67
 29 | R$     438,970.67 | R$  2,136.71 | R$ 10,842.49 | R$     451,949.87
 30 | R$     451,949.87 | R$  2,199.89 | R$ 10,842.49 | R$     464,992.25
 31 | R$     464,992.25 | R$  2,263.37 | R$ 10,842.49 | R$     478,098.11
 32 | R$     478,098.11 | R$  2,327.17 | R$ 10,842.49 | R$     491,267.77
 33 | R$     491,267.77 | R$  2,391.27 | R$ 10,842.49 | R$     504,501.53
 34 | R$     504,501.53 | R$  2,455.69 | R$ 10,842.49 | R$     517,799.71
 35 | R$     517,799.71 | R$  2,520.42 | R$ 10,842.49 | R$     531,162.61
 36 | R$     531,162.61 | R$  2,585.46 | R$ 10,842.49 | R$     544,590.57
 37 | R$     544,590.57 | R$  2,650.82 | R$ 10,842.49 | R$     558,083.88
 38 | R$     558,083.88 | R$  2,716.50 | R$ 10,842.49 | R$     571,642.87
 39 | R$     571,642.87 | R$  2,782.50 | R$ 10,842.49 | R$     585,267.86
 40 | R$     585,267.86 | R$  2,848.82 | R$ 10,842.49 | R$     598,959.17
 41 | R$     598,959.17 | R$  2,915.46 | R$ 10,842.49 | R$     612,717.12
 42 | R$     612,717.12 | R$  2,982.43 | R$ 10,842.49 | R$     626,542.05
 43 | R$     626,542.05 | R$  3,049.73 | R$ 10,842.49 | R$     640,434.26
 44 | R$     640,434.26 | R$  3,117.35 | R$ 10,842.49 | R$     654,394.10
 45 | R$     654,394.10 | R$  3,185.30 | R$ 10,842.49 | R$     668,421.88
 46 | R$     668,421.88 | R$  3,253.58 | R$ 10,842.49 | R$     682,517.95
 47 | R$     682,517.95 | R$  3,322.19 | R$ 10,842.49 | R$     696,682.63
 48 | R$     696,682.63 | R$  3,391.14 | R$ 10,842.49 | R$     710,916.26
 49 | R$     710,916.26 | R$  3,460.42 | R$ 10,842.49 | R$     725,219.17
 50 | R$     725,219.17 | R$  3,530.04 | R$ 10,842.49 | R$     739,591.70
======================================================================

Cenário: Taxa Anual = 9.00%, Taxa Mensal = 0.721%
Depósito Extra Necessário: R$ 4,944.20
Total Depósito Mensal (Aluguel + Extra): R$ 5,944.20
Capital Final (aprox.): R$ 499,491.95
Capital Necessário para gerar R$ 3.600/mês: R$ 499,491.95
----------------------------------------------------------------------
Mês |   Saldo Inicial |      Juros |   Depósito |     Saldo Final
  1 | R$     100,000.00 | R$    720.73 | R$  5,944.20 | R$     106,664.93
  2 | R$     106,664.93 | R$    768.77 | R$  5,944.20 | R$     113,377.91
  3 | R$     113,377.91 | R$    817.15 | R$  5,944.20 | R$     120,139.26
  4 | R$     120,139.26 | R$    865.88 | R$  5,944.20 | R$     126,949.34
  5 | R$     126,949.34 | R$    914.96 | R$  5,944.20 | R$     133,808.51
  6 | R$     133,808.51 | R$    964.40 | R$  5,944.20 | R$     140,717.11
  7 | R$     140,717.11 | R$  1,014.19 | R$  5,944.20 | R$     147,675.51
  8 | R$     147,675.51 | R$  1,064.35 | R$  5,944.20 | R$     154,684.06
  9 | R$     154,684.06 | R$  1,114.86 | R$  5,944.20 | R$     161,743.12
 10 | R$     161,743.12 | R$  1,165.73 | R$  5,944.20 | R$     168,853.06
 11 | R$     168,853.06 | R$  1,216.98 | R$  5,944.20 | R$     176,014.24
 12 | R$     176,014.24 | R$  1,268.59 | R$  5,944.20 | R$     183,227.03
 13 | R$     183,227.03 | R$  1,320.58 | R$  5,944.20 | R$     190,491.81
 14 | R$     190,491.81 | R$  1,372.94 | R$  5,944.20 | R$     197,808.95
 15 | R$     197,808.95 | R$  1,425.67 | R$  5,944.20 | R$     205,178.82
 16 | R$     205,178.82 | R$  1,478.79 | R$  5,944.20 | R$     212,601.82
 17 | R$     212,601.82 | R$  1,532.29 | R$  5,944.20 | R$     220,078.31
 18 | R$     220,078.31 | R$  1,586.18 | R$  5,944.20 | R$     227,608.69
 19 | R$     227,608.69 | R$  1,640.45 | R$  5,944.20 | R$     235,193.34
 20 | R$     235,193.34 | R$  1,695.11 | R$  5,944.20 | R$     242,832.65
 21 | R$     242,832.65 | R$  1,750.17 | R$  5,944.20 | R$     250,527.03
 22 | R$     250,527.03 | R$  1,805.63 | R$  5,944.20 | R$     258,276.86
 23 | R$     258,276.86 | R$  1,861.48 | R$  5,944.20 | R$     266,082.55
 24 | R$     266,082.55 | R$  1,917.74 | R$  5,944.20 | R$     273,944.49
 25 | R$     273,944.49 | R$  1,974.41 | R$  5,944.20 | R$     281,863.10
 26 | R$     281,863.10 | R$  2,031.48 | R$  5,944.20 | R$     289,838.78
 27 | R$     289,838.78 | R$  2,088.96 | R$  5,944.20 | R$     297,871.95
 28 | R$     297,871.95 | R$  2,146.86 | R$  5,944.20 | R$     305,963.01
 29 | R$     305,963.01 | R$  2,205.17 | R$  5,944.20 | R$     314,112.39
 30 | R$     314,112.39 | R$  2,263.91 | R$  5,944.20 | R$     322,320.50
